Original Part,description,Alternative Part,description.1
KS55-00005,SMD 330nF       10%  100V  X7R 2220 SYF,KKT-00219,SMD 330nF        5%  100V  X7R 2220 KEM
WBO-00013,SMD 240R      1%  0.25W 1206 100ppm BOU,WVH-00813,SMD 240R      1%  0.25W 1206 100ppm VIS
KSI-00076,#SMD  22pF        5%   50V  C0G 0603 EPC,KYA-00007,SMD  22pF        5%   50V  C0G 0603 YAG
KSI-00076,#SMD  22pF        5%   50V  C0G 0603 EPC,KYA-00007,SMD  22pF        5%   50V  C0G 0603 YAG
KSI-00076,#SMD  22pF        5%   50V  C0G 0603 EPC,KYA-00007,SMD  22pF        5%   50V  C0G 0603 YAG
KSI-00076,#SMD  22pF        5%   50V  C0G 0603 EPC,KYA-00007,SMD  22pF        5%   50V  C0G 0603 YAG
KSI-00076,#SMD  22pF        5%   50V  C0G 0603 EPC,KYA-00007,SMD  22pF        5%   50V  C0G 0603 YAG
KSI-00076,#SMD  22pF        5%   50V  C0G 0603 EPC,KYA-00007,SMD  22pF        5%   50V  C0G 0603 YAG
DN4-00013,#SMDdio varicap BB152 SOD-323 NXP,DN4-00062,SMDdio varicap BB171 SOD-323 NXP
IOZ-00082,#SMDIC L4949DR2G   SO-8  ONS,IOZ-00140,SMDIC NCV4949ADR2G   SO-8  ONS
KE13-00006,#SMDtan   22uF 20%  20V      CaseD   KEM,KKT-00229,SMDtant  22uF 20%  20V      CaseD    KEM
KE13-00007,#SMDtan  330uF 10%  10V     CaseE    KEM,KKT-00218,SMDtant 330uF 10%  10V      CaseD    KEM
KE13-00008,#SMDtan    1uF 10%  35V     CaseA    KEM,KKT-00221,SMDtant   1uF 10%  35V      CaseA    KEM
KE13-00008,#SMDtan    1uF 10%  35V     CaseA    KEM,KKT-00221,SMDtant   1uF 10%  35V      CaseA    KEM
KE13-00009,#SMDtan   10uF 10%  16V     CaseB    KEM,KKT-00222,SMDtant  10uF 10%  16V      CaseB    KEM
KE13-00009,#SMDtan   10uF 10%  16V     CaseB    KEM,KKT-00222,SMDtant  10uF 10%  16V      CaseB    KEM
KE13-00010,#SMDtan   10uF 10%  10V     CaseA    KEM,KKT-00223,SMDtant  10uF 10%  10V     CaseA     KEM
KE13-00010,#SMDtan   10uF 10%  10V     CaseA    KEM,KKT-00223,SMDtant  10uF 10%  10V     CaseA     KEM
KE13-00012,#SMDtan   4u7F 20%  50V     CaseD    KEM,KKT-00230,SMDtant  4u7F 20%  50V      CaseD    KEM
KE13-00013,#SMDtan  100uF 10%  16V     CaseD    KEM,KKT-00227,SMDtant 100uF 10%  16V      CaseD    KEM
KE13-00013,#SMDtan  100uF 10%  16V     CaseD    KEM,KKT-00227,SMDtant 100uF 10%  16V      CaseD    KEM
KE13-00013,#SMDtan  100uF 10%  16V     CaseD    KEM,KKT-00227,SMDtant 100uF 10%  16V      CaseD    KEM
KE13-00013,#SMDtan  100uF 10%  16V     CaseD    KEM,KKT-00227,SMDtant 100uF 10%  16V      CaseD    KEM
KKT-00081,#SMDtan    1uF 10%  35V     CaseB    KEM,KKT-00224,SMDtant   1uF 10%  35V      CaseB    KEM
KKT-00114,#SMDtan   68uF 10%  20V     CaseE    KEM,KKT-00231,SMDtant  68uF 10%  20V      CaseX    KEM
KKT-00140,#SMDtant 220uF 10% 16V       CaseX   KEM,KKT-00228,SMDtant 220uF 10%  16V      CaseX    KEM
KKT-00194,#SMDtan   4u7F 10%  50V     CaseD    KEM,KKT-00232,SMDtant  4u7F 10%  50V      CaseD    KEM
KSI-00007,#SMDtan   10uF 10%  35V     CaseD    KEM,KKT-00225,SMDtant  10uF 10%  35V      CaseD    KEM
KSI-00007,#SMDtan   10uF 10%  35V     CaseD    KEM,KKT-00225,SMDtant  10uF 10%  35V      CaseD    KEM
KSI-00028,#SMDtan    1uF 10%  16V      CaseA   KEM,KKT-00226,SMDtant   1uF 10%  16V      CaseA    KEM
KSI-00028,#SMDtan    1uF 10%  16V      CaseA   KEM,KKT-00226,SMDtant   1uF 10%  16V      CaseA    KEM
KSI-00082,#SMDtan   4u7F 10%  35V     CaseC    KEM,KKT-00198,SMDtant  4u7F 10%  35V      CaseC    KEM
KSI-00082,#SMDtan   4u7F 10%  35V     CaseC    KEM,KKT-00198,SMDtant  4u7F 10%  35V      CaseC    KEM
TPH-00119,SMDtran BC847BPN SOT-363 NEX,TIV-00057,SMDtrans BC847PN            SOT-363  INF
TPH-00119,SMDtran BC847BPN SOT-363 NEX,TD2-00009,SMDtrans BC847PN-7-F        SOT-363  DIO
TIV-00057,SMDtrans BC847PN            SOT-363  INF,TD2-00009,SMDtrans BC847PN-7-F        SOT-363  DIO
XEC-00002,SMDx-tal 18.432MHz                   ECS,XA20-00003,SMDx-tal 18.432MHz                  ACT
WVH-00534,SMD       2R2  2% 0.25W    MicroMELF VIS,WVH-00815,SMD       2R2  1% 0.25W    MicroMELF VIS
CMO-00214,#SMDconn   20p 52207-2085 FCC/FPC    MOL,CMO-00287,SMDconn   20p 52207-2033 FCC/FPC    MOL
FPA-00013,#SMDfer EXC3BP121H           0603    PAN,FBO-00028,SMDfer MH1608-121Y          0603    BOU
DGC-00016,#SMDdio BAV21WS-V-GS08 SOD-323 VIS,DVH-00189,SMDdio BAV21WS-E3-08 SOD-323 VIS
UZZ-01026,#GSM-module  MC55i   Cinterion,UZZ-01352,GSM-module  MC55i-W   Cinterion
WYA-00124,#SMD  49K9     1% 0.063W 0402  50ppm YAG,WYA-00252,SMD  49K9     1% 0.063W 0402  50ppm YAG
WYA-00124,#SMD  49K9     1% 0.063W 0402  50ppm YAG,WYA-00252,SMD  49K9     1% 0.063W 0402  50ppm YAG
WYA-00124,#SMD  49K9     1% 0.063W 0402  50ppm YAG,WYA-00252,SMD  49K9     1% 0.063W 0402  50ppm YAG
LTO-00013,#SMDled GREEN TLGU1008A(T04)   0603  TOS,LKI-00024,#SMDled Green KP1608VGC-A    0603    KIN
KKT-00098,#SMDtan  330uF 10%  10V     CaseE    KEM,KKT-00210,SMDtan  330uF 10%  10V     CaseE    KEM
BZZ-00985,verwijderen,BZZ-01004,Curvedspr. washer   M2.2x4.5 DIN137 RVS
WAP-00047,SMD 604R      1% 0.063W 0603  50ppm  TE,WVH-00823,SMD 604R      1% 0.125W 0603  50ppm VIS
WYA-00276,SMD   1K24  0.5%   0.1W 0603  25ppm YAG,WVH-00824,SMD   1K24    1% 0.125W 0603  50ppm VIS
UZZ-01338,Kogellager 6x13x5  SAPPORO 686ZZSMB,UZZ-01365,Kogellager 6x13x5  Supra 686ZZ
IA6-00144,#SMDic AT45DB321D-MWU VDFN-8 GEPR.  ADE,IA6-00154,SMDic AT45DB321E-MWHF GEPR. VDFN-8 ADE
IA6-00117,#SMDic AT45DB321D-MWU        VDFN-8  ADE,IA6-00155,SMDic AT45DB321E-MWHF-T      VDFN-8  ADE
LA29-00021,#Led Blue  5mm  HLMP-CB13-UX000   AVA,LA29-00053,LED      Blue     HLMP-CB2B-VW0DD    AVA
KKT-00181,SMDtan   47UF 20% 35V     CASE_X    KEM,KKT-00239,SMDtan  47UF 10% 35V LOW ESR CASE_X  KEM
WVH-00003,SMD   1G 1KV  1%   0.3W 1206 100ppm VIS,WVH-00830,SMD   1G 1.5KV 1%  0.3W 1206 100ppm VIS
KM19-00005,Tant  6u8F   35V R=ax     CDE,KKT-00240,Tant     6u8F 10%  35V      Axial    KEM
IA6-00092,#SMDIC AT45DB041D-SU SO8W ADE,IA6-00156,SMDIC  AT45DB041E-SHN  SO8W ADE
IA6-00092,#SMDIC AT45DB041D-SU SO8W ADE,IA6-00156,SMDIC  AT45DB041E-SHN  SO8W ADE
IA6-00135,#SMDIC AT45DB041D-SU gepr 21982322 ADE,IA6-00157,SMDIC AT45DB041E-SHN-B gepr 21982322 ADE
CAP-00005,Jumper      2P     fem black AMP,CKJ-00005,Jumper     2p  SX1100-H-BLK r=1e     KYC
VVH-00021,SMDtrim   2K   TSM4-ZJ-202K   VIS,VNK-00001,SMDpot     2K 10% 0.25W     SM-42    COP
UA27-00003,verwijderen,UA27-00004,MiniValve TA250-2 M3  (SAAB)
CPN-00024,Boxheader 48P 3r fem vert  PAN,CE5-00001,Boxheader 48P 3r fem vert  EPT
MRO-00040,GlassSilk Tape SCOTCH 27U (25.4mmx54.8m),HULP-01112,GlassSilk Tape 27U (25.4mmx54.8m)
CLU-00004,#Screwterm. block 8p 2r  KRD-08,CS56-00010,CONN Multilevel 8p 2r PSQ040D5       SAU
WVH-00823,SMD 604R      1% 0.125W 0603  50ppm VIS,WVH-00833,SMD 604R    0.1%   0.1W 0603  25ppm VIS
WVH-00824,SMD   1K24    1% 0.125W 0603  50ppm VIS,WVH-00834,SMD   1K24  0.1%   0.1W 0603  25ppm VIS
WAP-00047,SMD 604R      1% 0.063W 0603  50ppm  TE,WVH-00833,SMD 604R    0.1%   0.1W 0603  25ppm VIS
WYA-00276,SMD   1K24  0.5%   0.1W 0603  25ppm YAG,WVH-00834,SMD   1K24  0.1%   0.1W 0603  25ppm VIS
ZM8-00006,Fuse   MCPFP 6.3A 125V  MUL,ZZZ-00027,Fuse  6.3A 125V  RS
FSI-00134,SMDcoil 2x100uH B82789C0104H001 1812 EPC,FSI-00135,SMDcoil 2x100uH B82789C0104H002 1812 EPC
FE13-00013,SMDcoil 100uH B82789C0104N002 1812 SIE,FSI-00135,SMDcoil 2x100uH B82789C0104H002 1812 EPC
WDL-00043,SMD 220R      1% 0.125W 0805 100ppm VIS,WPH-01009,SMD 220R      1% 0.125W 0805 100ppm YAG
KPA-00167,#Elco     0.1F +80/-20% 5V5  R=4e    PAN,KPA-00211,#Cap    0.22F +80%/-20% 5V5 R=4e     PAN
SE23-00004,SWITCH DSG4-01ET                     ELE,SGY-00010,DIPswitch  1p  78G01ST      R=1e     GRA
KWI-00258,FKP4  4n7F  5% 2000V R=9e           WIM,KVH-00354,MKP  4n7F  5% 2000V R=9e           VIS
IR3-00003,#SMDic FM25CL64-G SO8 RAM,IR3-00013,SMDic FM25CL64B-G SO8   CYP
IPJ-00003,SMDic H5008NL   SO24W              PUL,IPJ-00004,SMDic H5008FNLT   SO24W              PUL
ISG-00200,#Ic LM311N                  SGS,INS-00345,Ic LM311N                  TI
DOZ-00022,SMDdio MBR0520LT1G SOD-123 ONS,DFD-00063,#SMDdiode MBR0520L          SOD-123  FAI
BZZ-01176,Afst.st  M4x30  A2-70 (391508014D),BZZ-01223,Afst.st  M4x30  SV (391508014D)
BZZ-01177,Afst.st  M4x10  A2-70  (391508007A),BZZ-01224,Afst.st  M4x10  SV  (391508007A)
ILT-00171,SMDic LTM2881CY-3#PBF    BGA-32   LIN,ILT-00211,SMDic LTM2881CV-3#PBF       LGA-32   LIN
CMO-00168,#SubD      25P 2r mle 90ø goud    MOL,CMO-00293,SubD      25p  2r mle 90º            TYC
II2-00002,#SMDic MK5811S          SO8 IDT,ICJ-00041,#SMDic CY25811SXC            SO-8    CYP
LMG-00002,#Buzzer CPM121AOA           MEG,LMG-00003,#BUZZER M3-CPM121A1AWPTS01    MEG
DOZ-00022,SMDdio MBR0520LT1G SOD-123 ONS,DFD-00063,#SMDdiode MBR0520L          SOD-123  FAI
CFU-00002,#Conn      34P 2R mle str  R=1e      FUJ,CS23-00140,Conn      34P 2R mle str  R=1e      SAM
WAP-00015,SMD  61K9   0.1%  0.25W 1206  15ppm  TE,WVH-00838,SMD  61K9 0.1% 0.25W MMA0204 15ppm VIS
KVH-00347,Elco    220uF 20%  40V      R=ax     VIS,KPH-00177,Elco    220uF 20%  40V R=ax          VIS
KS6-00001,Elco      22uF 20% 250V R=2e         SAM,KRU-00063,Elco      22uF 20% 250V R=2e         RUB
CAP-00401,#Boxheader 16P mle str               AMP,CAH-00072,Conn  16P 2r R=1e T821116A1S100CEU AMP
BFB-00039,Taptite M3x8    Ck Kk  SV  FAB,BFB-00012,M3x8            Ck Kk  SV  FAB
HZZ-00200,SMDtransf MCP W4414.5 120-0897A7     WIT,HZZ-00223,SMDtransf MCP 124-3616 T2206C
HZZ-00202,SMDtransf anode W4513.4 dry-pack  WIT,HZZ-00224,SMDtransf Anode 124-3615 T2206C
HZZ-00201,SMDtransf anode W4415.8 drypack WIT,HZZ-00225,SMDtransf Anode   124-3617 T2206C
HZZ-00199,SMDtransf Zenith W4648.5 120-1248A3 WIT,HZZ-00226,SMDtransf ATGv3  124-3614
KSI-00129,#SMD  10nF       10%   50V  X7R 0603 EPC,KPH-00464,SMD  10nF       10%   50V  X7R 0603 YAG
TSG-00054,#Trans  BD244C              SGS,TOZ-00053,Trans  BD244CG             ONS
TSG-00059,#Trans  2N2222A             TO-18    STM,TM8-00003,verwijderen
