Order,part number,total amount
1036933,CAP-00693,504.0
1036933,CMO-00180,252.0
1036933,CZZ-00214,252.0
1036933,CZZ-00215,252.0
1036933,CZZ-00216,252.0
1036933,CZZ-00217,252.0
1036933,DAP-00001,756.0
1036933,DN4-00034,252.0
1036933,DPH-00172,2016.0
1036933,DSG-00099,1764.0
1036933,DVH-00011,252.0
1036933,DVH-00115,1260.0
1036933,DVH-00210,252.0
1036933,FBO-00038,252.0
1036933,FMU-00047,6552.0
1036933,FMU-00072,1512.0
1036933,FWO-00079,504.0
1036933,IF7-00010,252.0
1036933,ILT-00244,504.0
1036933,IN4-00117,0.0
1036933,INS-00232,252.0
1036933,IOZ-00232,1512.0
1036933,IPH-01114,756.0
1036933,IT5-00031,252.0
1036933,ITI-01051,252.0
1036933,JZZ-00050,252.0
1036933,JZZ-01661,504.0
1036933,KAX-00358,252.0
1036933,KAX-00427,2520.0
1036933,KKT-00066,3276.0
1036933,KKT-00167,1008.0
1036933,KMU-00120,252.0
1036933,KMU-00136,252.0
1036933,KMU-00248,252.0
1036933,KMU-00282,504.0
1036933,KNC-00019,252.0
1036933,KPH-00564,11088.0
1036933,KVH-00201,2520.0
1036933,KYA-00019,756.0
1036933,KYA-00058,504.0
1036933,OA12-00015,756.0
1036933,PZZ-03625,252.0
1036933,RAP-00034,252.0
1036933,SOM-00028,252.0
1036933,TIV-00071,504.0
1036933,TN4-00063,504.0
1036933,TPH-00001,252.0
1036933,TPH-00002,252.0
1036933,UZZ-01069,252.0
1036933,WPH-00329,504.0
1036933,WPH-00414,504.0
1036933,WPH-01304,756.0
1036933,WPH-01344,252.0
1036933,WVH-00117,252.0
1036933,WVH-00600,2520.0
1036933,WVH-00602,1512.0
1036933,WVH-00634,1512.0
1036933,WVH-00910,1764.0
1036933,WVH-00927,252.0
1036933,WVH-00944,252.0
1036933,WYA-00007,252.0
1036933,ZBO-00046,252.0
1037057,IA6-00168,51360.0
1037057,JZZ-01661,360.0
1037057,KMU-00224,102720.0
